ID,coordx,coordy,x1,x2,x3,x4,y
147,-8.52912,32.58411,509.1445806,-1.06176,0,1,0.460526316
148,-6.60494,32.96812,354.318054,-1.22859,15,2,0.55
149,-6.57356,32.99254,351.2102824,-1.20735,60,6,0.681578947
150,-5.40684,33.96473,217.6622083,-1.14062,94.11764706,3,0.607894737
151,-5.41739,33.97908,215.8153424,-1.17415,90.38461538,3,0.792105263
152,-5.49556,34.02265,211.4222255,1.00097,90.14084507,6,0.434210526
153,-5.49821,34.03515,209.6187126,1.34748,92.75362319,11,0.113157895
154,-6.57578,34.22181,229.6874179,-0.35381,88.88888889,7,0.313157895
155,-6.57838,34.20024,231.9790216,-0.27117,85.45454545,8,0.318421053
156,-6.58728,34.17823,234.5530701,0.56002,88.23529412,8,0.239473684
157,-6.54585,34.16608,233.5178912,-0.41095,80.32786885,3,0.334210526
158,-5.87115,35.02306,113.1080164,-0.79649,50,3,0.755263158
159,-5.64212,35.03141,102.6801845,0.20918,97.27891156,10,0.271052632
160,-7.56359,31.14829,582.8001501,-0.3268,0,1,0.881578947
161,-7.62637,31.08607,591.3918014,-0.48596,0,2,0.744736842
162,-7.69658,31.04058,599.9489949,-0.66172,0,1,0.571052632
163,-7.62379,30.4606,655.9942922,-0.98003,0,1,0.886842105
164,-7.58142,30.4593,654.2630972,-0.9497,0,2,0.718421053
165,-7.02278,30.94715,581.6982461,-0.98307,0,2,0.765789474
166,-6.72194,30.79236,589.2469463,-0.85429,0,2,0.976315789
167,-6.55988,30.72382,592.1223086,-0.9861,0,2,0.828947368
168,-6.49224,30.7065,592.3680496,-0.82022,0,2,0.518421053
169,-6.04957,30.7639,577.8600006,-0.97705,0,2,0.586842105
170,-4.48298,32.52901,390.4937205,-0.72765,0,1,0.634210526
171,-4.61312,32.67494,371.5669698,-0.36325,0,0,0.971052632
172,-4.5229,32.70322,370.5095529,-0.42871,0,0,0.507894737
173,-4.44493,32.77257,365.9529756,-0.9861,0,0,0.497368421
174,-4.22668,32.91063,358.9624603,-0.74058,0,0,0.981578947
175,-4.12265,33.00055,354.6438296,-0.74058,0,0,0.823684211
176,-3.89908,33.15289,349.7892853,-0.74058,0,0,0.471052632
177,-3.621,33.47061,336.8056179,-0.86334,0,0,0.855263158
178,-3.18445,34.98561,267.3207742,-0.4046,20.45623,3,0.365789474
179,-3.26279,35.08805,255.4212093,-0.85429,0,1,0.892105263
180,-3.49478,35.01167,234.9044305,-0.23485,0,0,0.781578947
181,-3.53412,34.98411,231.9601193,-0.33406,20.45623,0,0.386842105
182,-3.64022,34.90669,225.7468443,-0.04155,0,0,0.860526316
183,-3.79095,34.90201,211.4789324,0.7197,34.89762,5,0.444736842
184,-3.92645,34.95503,196.0090677,0.15294,54,6,0.302631579
185,-5.10616,34.13773,200.842497,-1.04963,15,3,0.539473684
186,-5.12046,34.14395,199.7806214,-1.20129,0,3,0.686842105
187,-5.16644,34.24038,188.8840125,-0.86477,0,4,0.523684211
188,-5.17154,34.24185,188.7583678,-0.65278,0,3,0.639473684
190,-5.20042,34.30156,181.0551246,-0.29128,23.45678,3,0.381578947
191,-5.10501,34.49791,161.6658013,0.40059,42.85714286,3,0.439473684
